Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"RT @bireme: V CIAPS – Congresso Internacional de Atenção Primária
Programa: https://t.co/IkfqovOPGe
Inscrição: https://t.co/LiF6kZqQLn
Dia…",https://twitter.com/i/web/status/1388187320608825346,30/04/2021 11:43:43,Twitter for iPhone,0,7,OPS/OMS,11:43:43,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @Ops_Paraguay: Las vacunas han reducido incidencias de enfermedades 🦠 como el sarampión, el cólera y la poliomielitis 🧐 que le han costa…",https://twitter.com/i/web/status/1388189825098997760,30/04/2021 11:53:40,Twitter for iPhone,0,3,OPS/OMS,11:53:40,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"#GuatePreviene 🟡

¡Denuncia toda actividad ilícita a los ☎️ 110, 1561, 1577 y 1574!
#YoDenuncio https://t.co/P7beodNWrm",https://twitter.com/i/web/status/1388191421241298944,30/04/2021 12:00:00,Twitter Media Studio,0,1,MinGob,12:00:00,http://pbs.twimg.com/profile_images/1371480777330941958/_81AGCXa.jpg
"VIDEO 🎥
Guatemala recibió segunda entrega de vacunas del Mecanismo #COVAX https://t.co/EXsehQWIMa",https://twitter.com/i/web/status/1388191419785900032,30/04/2021 12:00:00,Twitter Web App,5,1,Ministerio de Salud Pública,12:00:00,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"#Pasaportes | ⚠️ ¡Atención Chiquimula! La sede de Emisión de Pasaportes, se traslada a partir del 4 de mayo para la… https://t.co/gokoK6pH1v",https://twitter.com/i/web/status/1388191642721660933,30/04/2021 12:00:53,Hootsuite Inc.,0,0,Migración Guatemala,12:00:53,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
Reservistas Militares de #Izabal del #EjércitoGT | #MINDEF apoyan a la Municipalidad de Puerto Barrios en Campaña d… https://t.co/ka3YPHuddz,https://twitter.com/i/web/status/1388191795780231170,30/04/2021 12:01:30,Twitter for Android,5,2,Ejército Guatemala,12:01:30,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
"#BajaVerapaz | Brigada de Artillería de Campaña ""Santa Bárbara"" del #EjércitoGT | #MINDEF llevó a cabo acto de lice… https://t.co/T0tNGUDXtp",https://twitter.com/i/web/status/1388194414661718024,30/04/2021 12:11:54,Twitter for Android,2,0,Ejército Guatemala,12:11:54,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
Totonicapán habilita quioscos de registro para la vacunación contra el #COVID19 💉 https://t.co/p1cwUVIABL,https://twitter.com/i/web/status/1388194685995388936,30/04/2021 12:12:59,Twitter Web App,2,0,Gobierno Guatemala,12:12:59,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
"¿Eres usuario de #Guatecompras y tienes dudas de los procesos dentro del sistema? 
Encuentra un listado de… https://t.co/Emf9uqjZ5f",https://twitter.com/i/web/status/1388195774333325312,30/04/2021 12:17:18,Twitter for Android,0,0,Ministerio de Finanzas Guatemala,12:17:18,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
#Zacapa | Segunda Brigada de Infantería del #EjércitoGT | #MINDEF participó en capacitación para conformar equipos… https://t.co/LrWkH40wb7,https://twitter.com/i/web/status/1388196139833438211,30/04/2021 12:18:45,Twitter for Android,1,1,Ejército Guatemala,12:18:45,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
"#Escuintla | Primera Brigada de Infantería ""Mariscal Zavala"" del #EjércitoGT concientiza a la población sobre medid… https://t.co/TfmM5QQIkA",https://twitter.com/i/web/status/1388196865573806092,30/04/2021 12:21:38,Twitter for Android,3,1,Ejército Guatemala,12:21:38,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
"Con la recuperación de un tramo carretero de 31 kilómetros de carretera, el Gobierno de Guatemala, a través del… https://t.co/WYeeiHpMzF",https://twitter.com/i/web/status/1388197439782326274,30/04/2021 12:23:55,Twitter Web App,0,1,Gobierno Guatemala,12:23:55,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
"Después de más de 12 años de espera, este día el @DrGiammattei junto al ministro de @CIVguate, Edmundo Lemus, entre… https://t.co/H5XOZWMpaR",https://twitter.com/i/web/status/1388197445662822403,30/04/2021 12:23:57,Twitter Web App,0,2,Gobierno Guatemala,12:23:57,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
PNC concientiza a ciudadanos para evitar propagación de covid-19 https://t.co/cKa38ICUIB,https://twitter.com/i/web/status/1388197474628775936,30/04/2021 12:24:04,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com",1,0,MinGob,12:24:04,http://pbs.twimg.com/profile_images/1371480777330941958/_81AGCXa.jpg
"El Gobierno de Guatemala, a través del @CIVguate trabaja en otros dos tramos carreteros en Escuintla, los que tiene… https://t.co/tJIdU5YQQa",https://twitter.com/i/web/status/1388197689909723136,30/04/2021 12:24:55,Twitter Web App,1,0,Gobierno Guatemala,12:24:55,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
#Izabal | Brigada de Infantería de Marina del #EjércitoGT | #MINDEF llevó a cabo ceremonial marítimo de licenciamie… https://t.co/DYJIPlebYC,https://twitter.com/i/web/status/1388200315053297664,30/04/2021 12:35:21,Twitter for Android,1,1,Ejército Guatemala,12:35:21,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
"24 al 30 de abril, Semana de Vacunación en las Américas 💉
Conoce más sobre la Vacuna SR 👇🏻

#Vacunate… https://t.co/H21FIRKTqI",https://twitter.com/i/web/status/1388202743416905729,30/04/2021 12:45:00,Twitter Web App,0,0,Ministerio de Salud Pública,12:45:00,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"#TuDenunciaEsConfidencial 🗣📞🕵🏻‍
#YoDenuncio
Denuncie a los extorsionistas, su información es completamente confiden… https://t.co/29Hji5fmXW",https://twitter.com/i/web/status/1388206522782601218,30/04/2021 13:00:01,Twitter Media Studio,0,0,MinGob,13:00:01,http://pbs.twimg.com/profile_images/1371480777330941958/_81AGCXa.jpg
#Actualización| #MSPAS informa este 30 de abril de 2021 los casos confirmados por laboratorio en el tablero Situaci… https://t.co/0Y558U6uKt,https://twitter.com/i/web/status/1388206591833411587,30/04/2021 13:00:17,Twitter for Android,6,2,Ministerio de Salud Pública,13:00:17,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
⚠️ En el tablero COVID-19 los fallecidos reportados el día anterior se visualizan por la fecha de defunción. Estos… https://t.co/19NYv7npdV,https://twitter.com/i/web/status/1388206593578242049,30/04/2021 13:00:18,Twitter for Android,0,0,Ministerio de Salud Pública,13:00:18,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"#DíaInternacionalDelJazz🎷
Fue decretado por la UNESCO en el año 2011, con el objetivo de dar a conocer un movimient… https://t.co/owL7WwmHHW",https://twitter.com/i/web/status/1388206635068399622,30/04/2021 13:00:28,Twitter for Android,3,2,Ejército Guatemala,13:00:28,http://pbs.twimg.com/profile_images/1371454438775398402/KrPRUXA_.jpg
"#ControlMigratorio | 🚢 Las personas que desean ingresar al país, vía marítima, deberán cumplir con lo siguiente: 👇… https://t.co/TsCWC4bOds",https://twitter.com/i/web/status/1388207393008504836,30/04/2021 13:03:28,Twitter for iPhone,0,0,Migración Guatemala,13:03:28,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"En la 15ª avenida y 15ª calle de la zona 1, investigadores de la DEIC, capturan  a Marlon Alejandro Martínez Estrad… https://t.co/eFwkRq9v2a",https://twitter.com/i/web/status/1388210945525178368,30/04/2021 13:17:35,Twitter for iPhone,0,0,MinGob,13:17:35,http://pbs.twimg.com/profile_images/1371480777330941958/_81AGCXa.jpg
